UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,29,4729513,2391961,2337552,1735962,1673108,375681,378462,35647,33191,167090,173523,7619,7007,69962,72261,1796767,1736064,405268,410975,57467,54994,194760,201498,14657,14000,1884951,1863862,1293642,1261294,348925,352305,20092,19469,161872,168175,5541,5215,54879,57404,1341147,1311180,371752,377950,35190,34807,185540,192003,11098,10806,507010,473690,442320,411814,26756,26157,15555,13722,5218,5348,2078,1792,15083,14857,455620,424884,33516,33025,22277,20187,9220,9495,3559,3194
R,7,2020,30,4745535,2397460,2348075,1747614,1683592,370121,377233,35292,32562,171135,179010,7820,7155,65478,68523,1804686,1743393,397079,407377,55645,53664,197517,205503,14423,13752,1891471,1881191,1305528,1277703,343626,350940,19587,19175,165884,173817,5605,5355,51241,54201,1349987,1324834,364230,374422,33652,33930,188485,196523,10832,10625,505989,466884,442086,405889,26495,26293,15705,13387,5251,5193,2215,1800,14237,14322,454699,418559,32849,32955,21993,19734,9032,8980,3591,3127
R,7,2020,31,4612941,2332194,2280747,1707770,1636720,349324,359750,34185,30975,172254,182367,7625,6862,61036,64073,1760943,1692477,373997,387465,53568,50624,196791,207674,13776,13136,1843675,1834394,1280848,1248333,323915,334558,18671,18150,167246,177227,5601,5181,47394,50945,1321973,1292481,342388,356204,31863,32014,188287,199046,10533,10210,488519,446353,426922,388387,25409,25192,15514,12825,5008,5140,2024,1681,13642,13128,438970,399996,31609,31261,21705,18610,8504,8628,3243,2926
R,7,2020,32,4533991,2291638,2242353,1694038,1623590,329264,341161,33761,30468,168873,179299,7652,6836,58050,60999,1744402,1676743,352068,367297,52118,49313,192755,203461,13761,12882,1801392,1799316,1264363,1237637,304764,316523,18052,17540,164024,174450,5523,5162,44666,48004,1302926,1279368,321593,336502,30300,30661,184490,195199,10362,10034,490246,443037,429675,385953,24500,24638,15709,12928,4849,4849,2129,1674,13384,12995,441476,397375,30475,30795,21818,18652,8265,8262,3399,2848
R,7,2020,33,4485388,2271315,2214073,1691498,1610832,317548,330714,32874,29590,167022,177157,7568,6779,54805,59001,1739103,1662265,339056,355674,50633,48307,189381,200474,13230,12538,1784758,1774369,1263933,1227265,293825,306593,17495,16978,162163,172439,5423,5021,41919,46073,1300094,1267262,309480,325505,29339,29893,181351,192479,9983,9623,486557,439704,427565,383567,23723,24121,15379,12612,4859,4718,2145,1758,12886,12928,439009,395003,29576,30169,21294,18414,8030,7995,3247,2915
R,7,2020,34,4497154,2279235,2217919,1707058,1622101,310563,325627,32673,29511,167777,177586,7696,6857,53468,56237,1753436,1670796,330988,348960,50252,47834,189616,199856,13449,12560,1787467,1777909,1274663,1237559,286738,301604,16850,16681,162947,172976,5495,5188,40774,43901,1309821,1275382,301465,319259,28557,29489,181619,192025,10097,9789,491768,440010,432395,384542,23825,24023,15823,12830,4830,4610,2201,1669,12694,12336,443615,395414,29523,29701,21695,18345,7997,7831,3352,2771
R,7,2020,35,4495335,2275172,2220163,1710387,1626873,306381,322413,31937,29295,167459,179532,7592,6742,51416,55308,1754950,1674840,325675,344645,49231,47613,188455,201774,13204,12413,1784372,1780286,1278191,1242220,283142,298526,16383,16547,162686,174989,5364,5098,38606,42906,1311371,1279232,296727,314971,27726,29300,180550,194097,9819,9661,490800,439877,432196,384653,23239,23887,15554,12748,4773,4543,2228,1644,12810,12402,443579,395608,28948,29674,21505,18313,7905,7677,3385,2752
R,7,2020,36,4402903,2224696,2178207,1674522,1596484,294282,313400,31577,28838,167641,179360,7308,6558,49366,53567,1717249,1642863,312598,334345,48440,46945,187928,201196,12669,12203,1745078,1743364,1251912,1215722,271802,290340,16156,16127,162847,174984,5219,4883,37142,41308,1283820,1251299,284701,305683,27283,28662,180116,193601,9467,9406,479618,434843,422610,380762,22480,23060,15421,12711,4794,4376,2089,1675,12224,12259,433429,391564,27897,28662,21157,18283,7812,7595,3202,2797
R,7,2020,37,4469938,2256954,2212984,1704450,1624976,297026,318118,32149,29375,166147,180063,7390,6770,49792,53682,1747593,1671282,315293,339028,49240,47918,186530,201708,12818,12454,1769639,1769510,1274430,1237209,274537,294021,16297,16334,161410,175548,5304,5066,37661,41332,1306788,1272649,287417,309314,27762,29152,178758,194057,9628,9617,487315,443474,430020,387767,22489,24097,15852,13041,4737,4515,2086,1704,12131,12350,440805,398633,27876,29714,21478,18766,7772,7651,3190,2837
R,7,2020,38,4464033,2251677,2212356,1704580,1626971,295469,318496,31637,28673,164130,179195,7427,6695,48434,52326,1746490,1672031,313142,339120,48732,47021,183681,199989,12785,12225,1765165,1766317,1275313,1235996,272909,294778,16029,15666,159392,174548,5303,4935,36219,40394,1306370,1270578,285267,309938,27330,28464,175864,192290,9553,9388,486512,446039,429267,390975,22560,23718,15608,13007,4738,4647,2124,1760,12215,11932,440120,401453,27875,29182,21402,18557,7817,7699,3232,2837
